slug,earning_after_first_date,expense_after_first_date,earning_after_first_expense,expense_after_first_expense
imolorhe/altair,195.0,0.0,227.0,-112.59
AmazMod/AmazMod,265.0,0.0,,
521dimensions/amplitudejs,5.0,0.0,,
maskarade/Android-Orma,,,,
zjh1218/Androidsc,,,,
ar95314/security-master,,,,
ravidsrk/android-testing-guide,,,,
anforaProject/anfora,30.0,0.0,,
vlio20/angular-datepicker,,,,
aladdin83/no-angular-fullstack,689.65,-79.0,684.24,-79.0
mrin9/Angular-SpringBoot-REST-JWT,,,,
mrin9/Modular-Java-Jersey-Vue,,,,
rampatra/animatescroll.js,,,,
anonydog/anonydog,,,,
sendya/ant-design-pro-vue,1.0,0.0,,
vueComponent/ant-design,1043.0,-35.0,101.0,-5.0
anticensority/runet-censorship-bypass,25.0,0.0,,
apex/apex,1556.0,-1100.0,142.0,-937.2
apex/up,3447.0,-2905.0,237.0,-883.55
ctripcorp/apollo,,,,
sysgears/apollo-universal-starter-kit,395.0,0.0,,
anifullstack/apollo-lab5,395.0,0.0,,
ColinEberhardt/applause-button,74.0,-54.89,0.0,-54.89
dpnishant/appmon,,,,
sandeepmistry/arduino-nRF5,20.0,0.0,,
alibaba/arthas,,,,
AssemblyScript/assemblyscript,26816.66,-9000.0,13466.66,-9000.0
asyncapi/asyncapi,44682.0,-30698.64,5.0,-3509.19
goreleaser/goreleaser,59.0,-52.0,0.0,-7.0
droidefense/engine,59.0,-52.0,0.0,-7.0
xuri/aurora,,,,
aldeed/meteor-autoform,,,,
keras-team/autokeras,295.0,0.0,,
cryos/avogadro,50.0,0.0,80.0,-384.48
skywind3000/awesome-cheatsheets,,,,
Awesome-Interview/Awesome-Interview,,,,
jaywcjlove/awesome-mac,,,,
SuJunming/mac-awesomeTools,,,,
ashkanRmk/awesome-persian-podcasts,,,,
Awesome-Windows/Awesome,,,,
SaiGonSoftware/Awesome-CMS-Core,,,,
ax5ui/ax5ui-kernel,850.24,-278.89,5.0,-287.0
william-morgan/babble,450.0,0.0,25.0,-599.0
william-morgan/trackchat,450.0,0.0,25.0,-599.0
6to5/6to5,,,,
npmdoc/node-npmdoc-babel,29258.0,-12564.04,11215.0,-68917.17
kriasoft/babel-starter-kit,1000.0,-694.4,850.0,-434.0
badgen/badgen.net,50.0,-40.36,0.0,-20.37
bagisto/bagisto,15.0,0.0,,
bbhj/intro,,,,
beakerbrowser/beaker,16191.04,-13435.84,646.0,-400.0
beakerbrowser/homebase,16191.04,-13435.84,646.0,-400.0
HughIsaacs2/DatPart,16191.04,-13435.84,646.0,-400.0
d-band/better-xlsx,,,,
bevry/editions,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-ghpages,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-partials,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-paged,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-cleanurls,50.0,0.0,0.0,-86.0
bevry/envfile,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-highlightjs,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-services,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-stylus,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-sass,50.0,0.0,0.0,-86.0
bevry/progressbar,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-marked,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-eco,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-sitemap,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-multiplelayouts,50.0,0.0,0.0,-86.0
